,preco,quartos,suites,vagas,m2,bairro,zona_centro,zona_leste,zona_norte,zona_oeste,zona_sul
7267,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7268,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7269,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7270,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7271,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7272,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7273,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7274,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7275,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7276,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7277,320000,3,0,2,141,São Mateus,0,1,0,0,0
7278,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7279,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7280,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7281,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7282,590000,3,0,1,225,Mooca,0,1,0,0,0
7283,689000,2,0,2,124,Alto da Mooca,0,1,0,0,0
7284,490000,3,1,3,190,Vila Industrial,0,1,0,0,0
7285,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7286,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7287,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7288,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7289,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7290,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7291,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7292,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7293,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7294,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7295,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7296,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7297,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7298,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7299,320000,3,0,2,141,São Mateus,0,1,0,0,0
7300,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7301,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7302,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7303,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7304,420000,3,3,2,105,Vila Nova York,0,1,0,0,0
7305,619000,3,1,5,180,Vila Matilde,0,1,0,0,0
7306,550000,2,0,1,83,Anália Franco,0,1,0,0,0
7307,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7308,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7309,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7310,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7311,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7312,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7313,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7314,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7315,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7316,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7317,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7318,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7319,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7320,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7321,320000,3,0,2,141,São Mateus,0,1,0,0,0
7322,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7323,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7324,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7325,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7326,880000,3,3,3,220,Vila Portuguesa,0,1,0,0,0
7327,305000,3,0,2,75,Vila Curuçá,0,1,0,0,0
7328,279000,2,0,0,90,Cambuci,0,1,0,0,0
7329,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7330,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7331,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7332,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7333,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7334,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7335,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7336,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7337,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7338,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7339,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7340,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7341,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7342,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7343,320000,3,0,2,141,São Mateus,0,1,0,0,0
